x,y
656,0
105.56927946209908,93.84579920768738
115.13516344970321,96.73725028706394
124.70337736504644,99.62940562671429
134.2775134092035,102.52335103048972
142.5122480392456,106.18820714950562
139.51862114667892,115.70770248770714
135.2695426940918,124.74884605407715
129.58705991506577,132.9773029088974
122.49732206761837,140.008102029562
114.18228619918227,145.51845576614141
104.93950170278549,149.32105314731598
95.18454002961516,151.45311728864908
85.23608865961432,152.34667430073023
75.22502446174622,152.34195685386658
65.25844985246658,151.56834071874619
55.42467923462391,149.8202478736639
45.90204173326492,146.78223556280136
37.11517292261124,142.08097118139267
29.4211806692183,135.70901733264327
22.90545615926385,128.1315144561231
17.499527290463448,119.7249311953783
13.515168383717537,110.57773335278034
10.92066603899002,100.91712266206741
9.519241333007812,91.01838684082031
9.093752458691597,81.02499170601368
9.508048773743212,71.04662385117263
10.879162640310824,61.14330118428916
13.405846581794322,51.47977064084262
17.282718658447266,42.27549362182617
22.62843045964837,33.83374322578311
29.393315982073545,26.47882666066289
37.35215191170573,20.46130995824933
46.253507774323225,15.907664705067873
55.74750086199492,12.806220349855721
65.56856923084706,10.991413031704724
75.54768995940685,10.257361248135567
85.52728015556931,10.419244408607483
95.47024426236749,11.520117402076721
105.19952831044793,13.829649567604065
114.41097790002823,17.65928077697754
122.67281677946448,23.253524601459503
129.6476354598999,30.406448364257812
135.23503182828426,38.68522381782532
139.544677734375,47.70703125
137.1852936266223,53.92181904307654
127.42512949474622,56.09345556241897
117.66629110928625,58.26479710318381
107.89339089381974,60.43926740112511
101.88055729866028,55.71454381942749
95.8828125,47.8125
87.17405891418457,43.051185607910156
77.2705192565918,42.07822608947754
67.64096134901047,44.506652265787125
59.78121829032898,50.56585657596588
54.70815396308899,59.12203824520111
52.390706062316895,68.83245992660522
51.67241406440735,78.7982486486435
51.900146484375,88.79095458984375
53.123975694179535,98.71742378175259
56.148433685302734,108.21495723724365
62.47933387756348,115.83962273597717
71.5152039527893,119.9006615281105
